artist,title,ultimate_guitar_url
George Strait,Here For A Good Time,https://tabs.ultimate-guitar.com/tab/george-strait/here-for-a-good-time-chords-1069207
Gillian Welch,Look At Miss Ohio,https://tabs.ultimate-guitar.com/tab/gillian-welch/look-at-miss-ohio-chords-1089277
Glee Cast,Survivor - I Will Survive,https://tabs.ultimate-guitar.com/tab/glee-cast/survivor-i-will-survive-chords-1114124
Glen Hansard,Falling Slowly,https://tabs.ultimate-guitar.com/tab/glen-hansard/falling-slowly-chords-542037
Gloria Gaynor,I Will Survive,https://tabs.ultimate-guitar.com/user/tab/view?h=ktYUef2XPGPmRaa78A6mPkRh&tab_id=31633589
Gnarls Barkley,Crazy,https://tabs.ultimate-guitar.com/tab/gnarls-barkley/crazy-chords-377909
Goo Goo Dolls,Iris,https://tabs.ultimate-guitar.com/tab/goo-goo-dolls/iris-chords-822601
Gracie Abrams,Hit The Wall,https://tabs.ultimate-guitar.com/tab/gracie-abrams/hit-the-wall-chords-6312455
Gracie Abrams,Risk,https://tabs.ultimate-guitar.com/tab/gracie-abrams/risk-chords-4997995
Gracie Abrams,Thats So True,https://tabs.ultimate-guitar.com/tab/gracie-abrams/thats-so-true-chords-5471322
Green Day,Basket Case,https://tabs.ultimate-guitar.com/tab/green-day/basket-case-official-1911353
Green Day,Good Riddance Time Of Your Life,https://tabs.ultimate-guitar.com/tab/green-day/good-riddance-time-of-your-life-chords-12835
Gregory Alan Isakov,The Stable Song,https://tabs.ultimate-guitar.com/tab/gregory-alan-isakov/the-stable-song-chords-2451005
Grover Washington Jr.,Just The Two Of Us,https://tabs.ultimate-guitar.com/tab/grover-washington-jr-/just-the-two-of-us-official-2463036
Guns N' Roses,Sweet Child O Mine,https://tabs.ultimate-guitar.com/tab/guns-n-roses/sweet-child-o-mine-chords-176076
H.E.R.,Hard Place,https://tabs.ultimate-guitar.com/tab/h-e-r-/hard-place-chords-2541771
Hall & Oates,Rich Girl,https://tabs.ultimate-guitar.com/tab/hall-oates/rich-girl-chords-1234917
Hanson,Mmmbop,https://tabs.ultimate-guitar.com/user/tab/view?h=H6OMpxNouhg-UzQ7Me4T56sf&tab_id=25397282
Harvey Danger,Flagpole Sitta,https://tabs.ultimate-guitar.com/tab/harvey-danger/flagpole-sitta-chords-41929
Heart,Alone,https://tabs.ultimate-guitar.com/tab/heart/alone-chords-1153842
Hilary Duff,What Dreams Are Made Of,https://tabs.ultimate-guitar.com/tab/hilary-duff/what-dreams-are-made-of-ukulele-1284087
Hoobastank,The Reason,https://tabs.ultimate-guitar.com/tab/hoobastank/the-reason-chords-1134949
Houaida Goulli,I Love The Mountains,https://tabs.ultimate-guitar.com/tab/houaida-goulli/i-love-the-mountains-chords-1407457
Hozier,Someone New,https://tabs.ultimate-guitar.com/tab/hozier/someone-new-chords-1450238
Hozier,Take Me To Church,https://tabs.ultimate-guitar.com/tab/hozier/take-me-to-church-chords-1513312
Hozier,The Humours Of Whiskey,https://tabs.ultimate-guitar.com/tab/hozier/the-humours-of-whiskey-chords-3575054
Hozier,Too Sweet,https://tabs.ultimate-guitar.com/tab/hozier/too-sweet-chords-5194038
Illenium,Good Things Fall Apart,https://tabs.ultimate-guitar.com/tab/illenium/good-things-fall-apart-official-2728626
Imogen Heap,Hide And Seek,https://tabs.ultimate-guitar.com/tab/imogen-heap/hide-and-seek-official-3903305
Indigo Girls,Closer To Fine,https://tabs.ultimate-guitar.com/tab/indigo-girls/closer-to-fine-chords-534175
Indigo Girls,Galileo,https://tabs.ultimate-guitar.com/tab/indigo-girls/galileo-chords-1156991
Ingrid Michaelson,The Way I Am,https://tabs.ultimate-guitar.com/tab/ingrid-michaelson/the-way-i-am-chords-631388
Ingrid Michaelson,You And I,https://tabs.ultimate-guitar.com/tab/ingrid-michaelson/you-and-i-chords-746553
Iris DeMent,Let The Mystery Be,https://tabs.ultimate-guitar.com/tab/iris-dement/let-the-mystery-be-chords-1411687
Iron & Wine,Love Vigilantes,https://tabs.ultimate-guitar.com/tab/iron-wine/love-vigilantes-chords-1686355
Iron & Wine,Naked As We Came,https://tabs.ultimate-guitar.com/tab/iron-wine/naked-as-we-came-chords-500977
Iron & Wine,Upward Over The Mountain,https://tabs.ultimate-guitar.com/tab/iron-wine/upward-over-the-mountain-chords-129806
Israel Kamakawiwoʻole,Over The Rainbow,https://tabs.ultimate-guitar.com/tab/2135261
Jack Johnson,Better Together,https://tabs.ultimate-guitar.com/tab/jack-johnson/better-together-chords-606852
James Blunt,Youre Beautiful,https://tabs.ultimate-guitar.com/tab/james-blunt/youre-beautiful-chords-180394
James Taylor,Carolina In My Mind,https://tabs.ultimate-guitar.com/tab/james-taylor/carolina-in-my-mind-chords-1065978
James Taylor,Fire And Rain,https://tabs.ultimate-guitar.com/tab/james-taylor/fire-and-rain-chords-1045012
James Taylor,Sweet Baby James,https://tabs.ultimate-guitar.com/tab/james-taylor/sweet-baby-james-chords-1498173
James Taylor,Youve Got A Friend,https://tabs.ultimate-guitar.com/tab/james-taylor/youve-got-a-friend-chords-56577
Janelle Monáe,Make Me Feel,https://tabs.ultimate-guitar.com/tab/2324849
Jason Isbell,Cover Me Up,https://tabs.ultimate-guitar.com/tab/jason-isbell/cover-me-up-chords-1407124
Jason Mraz,Im Yours,https://tabs.ultimate-guitar.com/tab/jason-mraz/im-yours-chords-468625
Jaya Lakshmi,Altar Of Love,https://tabs.ultimate-guitar.com/tab/jaya-lakshmi/altar-of-love-chords-2894423
Jeff Buckley,Hallelujah,https://tabs.ultimate-guitar.com/tab/jeff-buckley/hallelujah-chords-198052
Jefferson Airplane,Somebody To Love,https://tabs.ultimate-guitar.com/tab/jefferson-airplane/somebody-to-love-chords-1874825
Jerry Lee Lewis,Great Balls Of Fire,https://tabs.ultimate-guitar.com/tab/jerry-lee-lewis/great-balls-of-fire-chords-104376
Jewel,You Were Meant For Me,https://tabs.ultimate-guitar.com/tab/jewel/you-were-meant-for-me-chords-10951
Jimmy Eat World,The Middle,https://tabs.ultimate-guitar.com/tab/jimmy-eat-world/the-middle-chords-872107
Jo Dee Messina,Bye Bye,https://tabs.ultimate-guitar.com/tab/jo-dee-messina/bye-bye-chords-1496305
Jo Dee Messina,Heads Carolina Tails California,https://tabs.ultimate-guitar.com/tab/jo-dee-messina/heads-carolina-tails-california-chords-2107141
John Denver,Annies Song,https://tabs.ultimate-guitar.com/tab/john-denver/annies-song-chords-831622
John Denver,Leaving On A Jet Plane,https://tabs.ultimate-guitar.com/tab/john-denver/leaving-on-a-jet-plane-official-2407643
